exp_name,Batch,mean_length,n_samples,uniq_samples,good_samples,bad_samples,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1
toy-variety-2,0,13.841,32000,26567,8708,23292,toy-variety-2_0,1.3196029663085938,3.261674165725708,0.5,2.412917137145996,0.9107142686843872
toy-variety-2,1,13.40703125,6400,5810,1842,4558,toy-variety-2_1,1.1334766149520874,2.1868927478790283,0.9107142686843872,2.016188144683838,0.8928571343421936
toy-variety-2,2,13.16140625,6400,5741,1782,4618,toy-variety-2_2,1.2030237913131714,1.7941352128982544,0.9285714030265808,1.6558632850646973,0.9107142686843872
toy-variety-2,3,12.98515625,6400,5641,1893,4507,toy-variety-2_3,0.7807477116584778,1.5199553966522217,0.8928571343421936,1.5301095247268677,0.8392857313156128
toy-variety-2,4,12.87296875,6400,5551,1886,4514,toy-variety-2_4,0.6096662282943726,1.2168995141983032,0.9464285969734192,1.1904033422470093,0.9464285969734192
